id,title,author,location_id,inventory_id,category_id,available,last_update
1,"A Daughter of the Snows","William Dean",121,1001,1,1,"2020-03-02 10:30:22"
2,"The Near East: 10,000 Years of History","Frederic Brown",1002,1232,3,1,"2019-05-03 10:45:21"
3,"The Cocoon: A Rest-Cure Comedy","Jack London",123,1003,1,1,"2019-09-21 11:21:41"
4,"The Freakshow Murders","Albert Blaisdell",124,1004,1,1,"2021-01-15 13:51:01"
5,"Foundation Series","Isaac Asimo",125,1005,2,1,"2021-09-20 14:20:01"
6,"Hard Times","Ellis Butler",126,1006,1,1,"2021-05-27 17:31:01"
7,"A Modern Instance","Arthur Machen",127,1007,3,0,"2021-09-09 16:02:13"
8,"The Real Mother Goose","Rabindranath Tagore",128,1008,1,1,"2019-04-25 15:45:15"
9,"A Thousand Miles Up the Nile","Isaac Asimov",129,1009,2,0,"2020-04-02 16:05:14"
10,"Bhagavad Gita","Swami Prabhupada",130,1010,4,1,"2020-08-17 13:05:23"
11,"A pushcart at the curb","Ralph Waldo Emerson",131,1011,2,1,"2021-09-10 12:01:11"
12,"The Desert and the Sown","Dorothy Canfield",132,1012,1,1,"2019-05-05 09:55:54"
13,"A Daughter of the Snows","Givoanni Boccaccio",133,1013,3,1,"2020-10-10 11:25:09"
14,"Show Boat","Virginia Woolf",134,1014,2,1,"2018-08-27 13:00:21"
15,"Anna Karenina","Leo Tolstoy",135,1015,1,1,"2019-07-21 14:00:15"
16,"Madame Bovary","Gustav Flaubert",136,1016,2,1,"2018-07-23 13:10:21"
17,"War and Peace","Leo Tolstoy",137,1017,2,1,"2018-11-24 15:00:52"
18,Lolita,"Vladimir Nabokov",138,1018,1,1,"2018-12-27 12:00:25"
19,"The Adventures of Huckleberry","Mark Twain",139,1019,3,1,"2019-02-20 13:00:20"
20,Hamlet,"William Shakespeare",140,1020,3,1,"2020-11-22 15:03:23"
21,"The Great Gatsby","F. Scott Fizgerald",141,1021,4,1,"2020-04-12 11:00:31"
22,"In Search of Lost Time","Marcel Proust",142,1022,4,1,"2021-05-24 13:21:11"
23,"The Stories of Anton Chekhov","Anton Checkhov",143,1023,1,1,"2021-02-22 16:03:23"
24,Middlemarch,"George Eliot",144,1024,2,1,"2018-01-22 10:21:02"
25,"The History of Tom Jones, a Foundling","Henry Fielding",145,1025,2,1,"2019-04-27 13:00:21"
26,"Pride and Prejudice","Jane Austen",146,1026,3,1,"2021-07-27 11:40:24"
27,"David Copperfield","Charles Dickens",147,1027,1,1,"2021-05-22 12:23:22"
